frame,coverage_ratio
1037,58.9567
1038,58.9567
1039,58.9577
1040,58.9577
1041,58.9601
1042,58.9751
1043,58.9799
1044,59.0049
1045,59.0328
1046,59.0358
1047,59.0381
1048,59.0389
1049,59.039
1050,59.039
1051,59.0399
1052,59.045
1053,59.0799
1054,59.09
1055,59.1034
1056,59.109
1057,59.1331
1058,59.1395
1059,59.1477
1060,59.1604
1061,59.1781
1062,59.2024
1063,59.2222
1064,59.2403
1065,59.2561
1066,59.2737
1067,59.2927
1068,59.3233
1069,59.3343
1070,59.3546
1071,59.3605
1072,59.3668
1073,59.3812
1074,59.4061
1075,59.4384
1076,59.5008
1077,59.5436
1078,59.5883
1079,59.6103
1080,59.6193
1081,59.6193
1082,59.6193
1083,59.6193
1084,59.6193
1085,59.6194
1086,59.6195
1087,59.6195
1088,59.6203
1089,59.6222
1090,59.6341
1091,59.6383
1092,59.6393
1093,59.6409
1094,59.6517
1095,59.6743
1096,59.7035
1097,59.7153
1098,59.7153
1099,59.7158
1100,59.7158
1101,59.7158
1102,59.7169
1103,59.7169
1104,59.7169
1105,59.717
1106,59.724
1107,59.7641
1108,59.8117
1109,59.8343
1110,59.8841
1111,59.9238
1112,59.963
1113,60.0148
1114,60.0772
1115,60.1252
1116,60.1662
1117,60.1934
1118,60.2119
1119,60.2371
1120,60.2435
1121,60.2656
1122,60.3261
1123,60.387
1124,60.4046
1125,60.4186
1126,60.462
1127,60.5144
1128,60.5493
1129,60.5672
1130,60.5763
1131,60.5953
1132,60.6044
1133,60.6168
1134,60.6231
1135,60.64
1136,60.677
1137,60.6916
1138,60.7074
1139,60.7744
1140,60.9128
1141,61.016
1142,61.1001
1143,61.1476
1144,61.1697
1145,61.1924
1146,61.2569
1147,61.3284
1148,61.4039
1149,61.489
1150,61.5438
1151,61.5444
1152,61.5444
1153,61.5444
1154,61.5459
1155,61.5461
1156,61.5618
1157,61.5748
1158,61.5857
1159,61.5896
1160,61.5992
1161,61.6057
1162,61.623
1163,61.688
1164,61.7686
1165,61.8179
1166,61.8406
1167,61.911
1168,61.9636
1169,62.0422
1170,62.0853
1171,62.1414
1172,62.2396
1173,62.3455
1174,62.4399
1175,62.5385
1176,62.6237
1177,62.6698
1178,62.7059
1179,62.7245
1180,62.7361
1181,62.7634
1182,62.7897
1183,62.8083
1184,62.8093
1185,62.8167
1186,62.8351
1187,62.884
1188,62.9634
1189,63.0793
1190,63.1301
1191,63.15
1192,63.1687
1193,63.2055
1194,63.2484
1195,63.2735
1196,63.3084
1197,63.3484
1198,63.3938
1199,63.3942
1200,63.3972
1201,63.3972
1202,63.3997
1203,63.4105
1204,63.4179
1205,63.4397
1206,63.4527
1207,63.4633
1208,63.4749
1209,63.4878
1210,63.5013
1211,63.512
1212,63.5163
1213,63.5166
1214,63.5415
1215,63.5646
1216,63.5793
1217,63.5928
1218,63.6184
1219,63.6601
1220,63.7154
1221,63.8834
1222,64.0541
1223,64.1785
1224,64.2918
1225,64.3646
1226,64.4688
1227,64.6133
1228,64.7166
1229,64.8025
1230,64.889
1231,64.9531
1232,64.9884
1233,65.0519
1234,65.0906
1235,65.1204
1236,65.1317
1237,65.1387
1238,65.1526
1239,65.2224
1240,65.2842
1241,65.3124
1242,65.3337
1243,65.3412
1244,65.3428
1245,65.347
1246,65.3661
1247,65.4112
1248,65.4734
1249,65.5273
1250,65.5963
1251,65.6625
1252,65.7171
1253,65.7666
1254,65.816
1255,65.8414
1256,65.8562
1257,65.8671
1258,65.8733
1259,65.8807
1260,65.8852
1261,65.8892
1262,65.8894
1263,65.8897
1264,65.8905
1265,65.8912
1266,65.892
1267,65.8931
1268,65.9027
1269,65.9571
1270,66.0027
1271,66.0359
1272,66.0517
1273,66.0768
1274,66.1089
1275,66.1276
1276,66.1747
1277,66.2465
1278,66.3682
1279,66.4847
1280,66.6157
1281,66.7434
1282,66.8401
1283,66.8862
1284,66.9047
1285,66.9205
1286,66.9493
1287,66.9582
1288,66.9646
1289,66.9842
1290,67.014
1291,67.0511
1292,67.0944
1293,67.117
1294,67.1201
1295,67.1203
1296,67.122
1297,67.122
1298,67.1295
1299,67.132
1300,67.1351
1301,67.1509
1302,67.1732
1303,67.2067
1304,67.2574
1305,67.3017
1306,67.3399
1307,67.3727
1308,67.4025
1309,67.4329
1310,67.4624
1311,67.4956
1312,67.5342
1313,67.5842
1314,67.6753
1315,67.7442
1316,67.7926
1317,67.8391
1318,67.8724
1319,67.8986
1320,67.9054
1321,67.9054
1322,67.9054
1323,67.9054
1324,67.9054
1325,67.9054
1326,67.9054
1327,67.9054
1328,67.9054
1329,67.9054
1330,67.9054
1331,67.9054
1332,67.9054
1333,67.9054
1334,67.9065
1335,67.907
1336,67.9075
1337,67.9077
1338,67.9077
1339,67.9104
1340,67.9121
1341,67.9168
1342,67.919
1343,67.92
1344,67.9207
1345,67.9211
1346,67.9212
1347,67.9212
1348,67.9269
1349,67.9352
1350,67.9373
1351,67.9429
1352,67.9488
1353,67.9539
1354,67.9563
1355,67.9589
1356,67.9591
1357,67.9592
1358,67.9592
1359,67.9592
1360,67.9592
1361,67.9592
1362,67.9592
1363,67.9592
1364,67.9592
1365,67.9646
1366,67.9708
1367,67.9708
1368,67.9711
1369,67.9711
1370,67.9729
1371,68.0004
1372,68.0488
1373,68.0957
1374,68.1682
1375,68.2184
1376,68.29
1377,68.3154
1378,68.3198
1379,68.332
1380,68.352
1381,68.3928
1382,68.414
1383,68.4208
1384,68.4322
1385,68.4584
1386,68.4757
1387,68.4847
1388,68.4887
1389,68.4903
1390,68.4921
1391,68.5035
1392,68.5162
1393,68.5324
1394,68.5335
1395,68.5341
1396,68.5341
1397,68.5341
1398,68.5341
1399,68.5341
1400,68.5341
1401,68.5344
